TCCON,OCO2,Time
389.98,415.55417,1
390.37,416.95264,2
390.24,417.24985,3
390.59,417.09082,4
390.23,415.54858,5
390.3,415.42316,6
390.01,415.6447,7
390.44,416.45444,8
390.44,416.68768,9
390.25,416.2856,10
390.09,416.75214,11
389.87,416.41968,12
389.86,415.51855,13
389.91,415.51837,14
390.84,416.51007,15
390.19,416.2097,16
390.33,415.7174,17
390.52,415.90756,18
390,416.10376,19
390.22,414.60318,20
390.47,415.12094,21
390.25,417.0731,22
390.33,415.8097,23
390.5,415.24802,24
390.15,416.43347,25
390.52,416.34387,26
390.55,416.10342,27
390.7,416.721,28
390.19,419.74277,29
390.43,416.81775,30
389.85,416.98044,31
390.69,417.02502,32
390.61,417.7506,33
390.46,415.77774,34
390.26,415.40393,35
390.17,415.97473,36
390.41,417.0444,37
389.81,416.54346,38
390.22,417.3006,39
390.57,417.08957,40
390.25,417.36996,41
390.03,416.71762,42
390.28,416.92108,43
390.25,418.97397,44
390.29,418.15634,45
390.45,418.1303,46
390.14,416.50482,47
390.47,418.80478,48
389.98,417.8668,49
390.51,413.58844,50
391.22,417.01767,51
390.94,415.68005,52
391.19,415.16162,53
391.05,415.83807,54
391.45,415.29272,55
391,415.61386,56
391.27,414.69687,57
391.53,414.68243,58
391.5,417.42178,59
391.07,414.76505,60
391.1,415.82965,61
391.43,415.35812,62
391.2,416.27762,63
391.46,415.27423,64
391.49,416.02383,65
391.54,414.99518,66
391.72,415.4766,67
391.46,414.70538,68
391.51,414.99496,69
391.46,415.64627,70
391.76,415.12552,71
391.77,415.12936,72
391.68,415.28046,73
391.16,416.2067,74
391.41,414.84656,75
391.16,415.07852,76
391.82,414.76474,77
391.32,414.83597,78
391.72,415.54407,79
391.41,414.8329,80
391.7,415.52518,81
391.26,415.35425,82
390.98,415.0639,83
391.08,415.1439,84
390.82,415.77554,85
390.7,416.1112,86
391.25,415.53253,87
390.91,415.6407,88
391.18,414.9998,89
391.12,415.94666,90
391.41,414.64883,91
390.6,415.82092,92
391.57,415.50253,93
390.97,415.99228,94
391.04,415.8979,95
390.85,415.73676,96
390.89,413.55716,97
390.98,415.5108,98
390.7,416.0926,99
390.76,416.25552,100
391.06,415.6308,101
390.74,416.26947,102
391.37,415.594,103
390.74,416.19217,104
391.04,415.57816,105
390.84,415.8616,106
390.91,416.07816,107
390.35,414.942,108
390.64,415.27655,109
390.71,415.7938,110
390.47,415.9615,111
390.66,415.05487,112
390.77,415.7675,113
390.71,413.8384,114
391.26,415.19894,115
390.98,415.58875,116
391.05,415.7122,117
391.14,415.08704,118
390.72,415.225,119
390.7,414.64276,120
390.83,415.26797,121
390.55,415.26678,122
390.98,415.08765,123
390.31,415.60443,124
390.53,414.92126,125
390.53,413.50293,126
390.67,414.63254,127
390.8,415.41672,128
391.25,415.83792,129
390.8,415.42557,130
390.34,415.3665,131
390.74,414.82825,132
390.76,414.94583,133
390.4,415.41843,134
390.73,416.25488,135
390.71,415.00748,136
391.09,415.12582,137
390.8,415.14536,138
390.46,415.70352,139
390.55,415.627,140
390.63,414.7733,141
390.45,414.8697,142
391.06,415.86316,143
390.59,415.28937,144
390.7,415.74356,145
390.41,415.76953,146
390.79,415.43967,147
390.4,414.01465,148
391.13,414.8333,149
390.89,416.68344,150
390.69,415.24927,151
390.59,415.7274,152
390.78,412.31125,153
390.79,413.597,154
390.63,413.43488,155
390.85,415.28387,156
390.95,414.31296,157
390.51,415.26074,158
390.8,415.1762,159
390.75,415.29877,160
390.8,415.89127,161
390.8,415.41278,162
390.7,415.09988,163
390.75,415.72598,164
390.66,415.05783,165
390.55,412.7306,166
391.12,412.84302,167
390.51,414.62997,168
390.9,411.49432,169
390.63,413.57724,170
391.18,414.61996,171
391.01,412.51453,172
390.49,416.0235,173
390.75,415.58615,174
391.3,415.90924,175
390.58,414.99326,176
390.83,415.98264,177
390.72,415.23535,178
391.1,414.4511,179
390.56,415.36307,180
390.86,415.08487,181
390.52,415.65872,182
391.03,415.34268,183
390.86,415.0149,184
390.46,415.90518,185
390.79,415.69693,186
391.36,415.54144,187
390.97,415.7725,188
390.73,416.0096,189
390.23,415.43634,190
390.78,413.46713,191
390.43,414.6645,192
390.57,415.0815,193
390.53,415.22153,194
390.48,414.661,195
390.4,415.1924,196
390.22,415.2918,197
390.47,413.82245,198
390.7,413.36096,199
390.78,415.33817,200
390.36,415.5118,201
390.69,415.4165,202
390.8,415.52875,203
390.57,415.31732,204
390.43,415.61118,205
390.84,415.11987,206
390.53,414.48703,207
391.13,414.95465,208
391.05,415.38242,209
392.18,415.5269,210
390.82,414.94467,211
390.46,415.21448,212
390.86,415.41888,213
390.5,415.83838,214
390.81,414.52097,215
390.87,414.5529,216
390.78,415.50424,217
391.63,415.94412,218
390.42,415.0766,219
390.57,415.15735,220
390.53,415.4591,221
389.78,414.3886,222
390.14,414.62396,223
389.84,414.81815,224
390.62,415.7175,225
390.38,415.62152,226
390.74,415.48715,227
390.88,415.3975,228
390.56,414.5887,229
390.66,414.39996,230
390.44,414.23038,231
390.7,415.61194,232
390.56,415.8471,233
390.05,415.05853,234
390.54,415.1306,235
390.22,415.18457,236
390.64,414.95764,237
390.75,414.5515,238
390.73,414.96274,239
390.92,414.9146,240
390.5,415.60974,241
390.68,415.57736,242
390.48,415.93417,243
390.52,415.31552,244
390.56,415.14902,245
390.68,415.03833,246
390.36,415.65805,247
390.74,415.92734,248
390.48,415.71542,249
390.18,415.4598,250
390.34,415.31512,251
390.16,415.25858,252
390.54,415.82968,253
390.6,415.0576,254
390.96,414.75754,255
390.33,415.8055,256
390.58,416.36847,257
390.39,414.8876,258
390.61,415.5888,259
390.13,415.46542,260
390.16,415.76538,261
389.9,415.2458,262
390.21,415.71597,263
390.68,415.9226,264
389.96,414.86255,265
390.27,415.358,266
390.37,415.23376,267
390.33,415.57,268
390.54,415.7077,269
390.56,415.4546,270
390.2,415.48047,271
390.23,414.9622,272
390.19,415.344,273
390.22,415.3643,274
390.19,415.0626,275
390.39,414.9912,276
390.38,414.6957,277
390.3,415.15756,278
390.04,415.2044,279
390.66,414.80048,280
390.26,415.42255,281
390.14,415.43228,282
390.25,414.90408,283
390.5,415.86288,284
390.24,415.4353,285
390.63,415.21805,286
390.3,414.95703,287
390.86,415.46646,288
390.27,415.30923,289
390.46,415.49466,290
390.07,414.80643,291
390.74,414.8228,292
390.62,416.05664,293
390.37,415.6919,294
390.14,414.9933,295
390.37,415.18448,296
390.05,414.91446,297
390.29,415.66998,298
390.33,415.52353,299
390.16,414.94016,300
390.2,415.56564,301
389.65,416.02838,302
389.81,415.87677,303
390.54,415.67606,304
389.76,414.87775,305
390.3,415.79117,306
390.2,414.84067,307
390.39,415.95416,308
390.26,413.5248,309
390.48,415.5893,310
390.09,414.38727,311
390.37,415.95438,312
